City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kahului,20.8947,-156.47,87.82,71,20,19.57,US,1668726718
1,mendoza,-32.8908,-68.8272,87.84,25,15,6.35,AR,1668726542
2,beloha,-25.1667,45.05,68.31,86,0,3.15,MG,1668726718
3,marzuq,14.4,46.4667,62.44,71,13,2.35,YE,1668726719
4,fallon,39.4735,-118.7774,53.92,35,40,4.61,US,1668726719
5,lebu,-37.6167,-73.65,59.49,87,100,9.55,CL,1668726720
6,sayyan,15.1718,44.3244,51.15,43,0,3.29,YE,1668726720
7,ushuaia,-54.8,-68.3,51.46,46,40,13.8,AR,1668726635
8,yumen,40.2833,97.2,30.69,38,55,12.33,CN,1668726721
9,jutai,-5.1833,-68.9,74.25,98,99,3.11,BR,1668726722
10,butaritari,3.0707,172.7902,80.58,76,58,15.95,KI,1668726722
11,camacha,33.0833,-16.3333,65.62,77,40,8.05,PT,1668726723
12,yanam,16.7333,82.2167,68.77,79,98,4.32,IN,1668726531
13,punta arenas,-53.15,-70.9167,53.71,43,20,27.63,CL,1668726724
14,hambantota,6.1241,81.1185,77.13,80,98,0.83,LK,1668726542
15,faanui,-16.4833,-151.75,79.36,73,62,4.09,PF,1668726725
16,kruisfontein,-34.0033,24.7314,60.89,74,100,2.04,ZA,1668726726
17,qaanaaq,77.484,-69.3632,-17.19,75,2,7.7,GL,1668726726
18,namibe,-15.1961,12.1522,69.26,82,28,3.98,AO,1668726727
19,khatanga,71.9667,102.5,-20.58,89,100,8.41,RU,1668726728
20,bowen,-20.0167,148.2333,80.1,64,96,12.64,AU,1668726728
21,mataura,-46.1927,168.8643,58.48,75,100,2.48,NZ,1668726729
22,mount isa,-20.7333,139.5,82.17,24,22,10.36,AU,1668726730
23,kapaa,22.0752,-159.319,82.72,74,40,14.97,US,1668726730
24,sinnamary,5.3833,-52.95,79.32,82,37,10.69,GF,1668726731
25,rikitea,-23.1203,-134.9692,72.37,84,100,4.9,PF,1668726731
26,taltal,-25.4,-70.4833,64.76,85,51,5.79,CL,1668726732
27,manaure,11.7751,-72.4445,81.97,78,100,14.23,CO,1668726732
28,cockburn town,21.4612,-71.1419,81.68,76,9,17.45,TC,1668726733
29,virginia beach,36.8529,-75.978,47.01,60,0,3.44,US,1668726734
30,atuona,-9.8,-139.0333,78.04,75,66,14.85,PF,1668726734
31,venado tuerto,-33.7456,-61.9688,87.76,23,48,10.16,AR,1668726735
32,bireun,5.203,96.7009,77.0,83,100,3.56,ID,1668726735
33,butembo,0.15,29.2833,57.67,99,100,1.25,CD,1668726736
34,avarua,-21.2078,-159.775,78.85,78,100,13.8,CK,1668726551
35,rwamagana,-1.9487,30.4347,63.84,93,100,1.12,RW,1668726737
36,chokurdakh,70.6333,147.9167,-11.0,96,99,5.95,RU,1668726737
